VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CLUSTER,CRASH_COUNT
2010.0,BUS,VOLVO,0.2,0.1111111111111111,0.6727513227513227,0.17633333333333334,0.03707482993197279,2,60
2010.0,BUS,SCANIA,0.20500000000000002,0.09,0.6662698412698413,0.18891666666666668,0.04030612244897959,2,40
2012.0,BUS,VOLVO,0.2,0.1111111111111111,0.6873496873496874,0.17664646464646463,0.03463203463203463,2,33
2013.0,BUS,VOLVO,0.2,0.1111111111111111,0.7216931216931217,0.18122222222222223,0.03537414965986394,2,30
2014.0,BUS,VOLVO,0.20714285714285713,0.1111111111111111,0.723922902494331,0.18058333333333335,0.04591836734693877,2,28
2011.0,BUS,VOLVO,0.2,0.1111111111111111,0.7074829931972788,0.1813511904761905,0.0553935860058309,2,28
2006.0,BUS,MERC B,0.20714285714285713,0.10952380952380952,0.7154195011337867,0.18729166666666666,0.06341107871720117,2,28
2012.0,BUS,SCANIA,0.20740740740740743,0.0897119341563786,0.7213403880070546,0.19139506172839507,0.05820105820105819,2,27
2019.0,BUS,SCANIA,0.2,0.08888888888888889,0.684981684981685,0.19292307692307692,0.025902668759811613,2,26
2018.0,BUS,SCANIA,0.20769230769230768,0.08974358974358974,0.6904761904761905,0.1943653846153846,0.0792778649921507,2,26
