VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CLUSTER,CRASH_COUNT
2007.0,SEDAN,TOYOTA,0.20021645021645024,0.07366522366522366,0.06367243867243867,0.02139107142857143,0.026360544217687073,1,1848
2008.0,SEDAN,TOYOTA,0.19977603583426656,0.07226577081000374,0.06374980003199489,0.021391265397536392,0.02593870694974518,1,1786
2010.0,SEDAN,TOYOTA,0.2,0.07069213390840008,0.06358986395954973,0.021807568289176422,0.02624265972562777,1,1623
2011.0,SEDAN,TOYOTA,0.2,0.07055299875812696,0.06366947392588418,0.02210954415954416,0.026137476686927234,1,1521
2002.0,SEDAN,HOLDEN,0.2,0.10340501792114695,0.06320404505888376,0.02346161514336918,0.028225806451612902,1,1488
2006.0,SEDAN,TOYOTA,0.2,0.07003686150605581,0.06366401220835886,0.020250846310088017,0.026764124742652644,1,1477
2001.0,SEDAN,HOLDEN,0.2,0.10152475845410627,0.06337344720496894,0.023072418478260873,0.027215505767524396,1,1472
2013.0,SEDAN,TOYOTA,0.2,0.0697475787386563,0.06361190094889477,0.022649542438801188,0.02662726037566708,1,1457
2003.0,SEDAN,HOLDEN,0.1998624484181568,0.10563961485557083,0.06335014519333639,0.024036588720770292,0.028085787272267917,1,1454
2005.0,SEDAN,TOYOTA,0.2,0.07343532684283727,0.06363556085391968,0.020484457579972186,0.02608498197610059,1,1438
