VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CLUSTER,CRASH_COUNT
2007.0,P MVR,KENWTH,0.4000000000000001,0.1111111111111111,0.015873015873015872,0.1535617886178862,0.021652563464410152,0,82
2010.0,P MVR,KENWTH,0.4253164556962025,0.1111111111111111,0.015873015873015872,0.153507805907173,0.02040816326530612,0,79
2012.0,P MVR,KENWTH,0.41791044776119407,0.11243781094527364,0.01729447998104714,0.1614305970149254,0.020712762717027107,0,67
2008.0,P MVR,KENWTH,0.425,0.1111111111111111,0.01686507936507936,0.15542786458333335,0.021045918367346938,0,64
2014.0,P MVR,KENWTH,0.41,0.11037037037037037,0.016666666666666663,0.18546527777777777,0.02040816326530612,0,60
2013.0,P MVR,KENWTH,0.4135593220338983,0.11035781544256121,0.01614205004035512,0.15679435028248587,0.02040816326530612,0,59
2004.0,P MVR,KENWTH,0.4000000000000001,0.1111111111111111,0.01614668856048166,0.15188649425287357,0.021463757916959886,0,58
2003.0,P MVR,KENWTH,0.40869565217391307,0.1111111111111111,0.018288474810213937,0.15001992753623192,0.02129547471162378,0,46
2005.0,P MVR,KENWTH,0.4000000000000001,0.1111111111111111,0.015873015873015872,0.15100471014492753,0.02129547471162378,0,46
2017.0,P MVR,KENWTH,0.4000000000000001,0.1111111111111111,0.01622574955908289,0.16111925925925927,0.021315192743764172,0,45
